"","SEASON","ESTIMATE","LOWER","UPPER"
"1","summer16",29.4500722643156,22.1428571428571,38
"2","fall16",46.5478005995245,35,60
"3","winter16",20.8506154000278,14.4285714285714,29.5714285714286
"4","spring17",22.7572263593814,16,31.1428571428571
"5","summer17",8.97505570130315,5.85714285714286,14.1428571428571
"6","fall17",32.1599959857611,24.4285714285714,41.2857142857143
"7","winter17",40.6870658680711,31.8571428571429,51
"8","spring18",30.0384071817968,21,41
"9","summer18",14.3390817099725,11.4285714285714,18.7142857142857
